total,pde,bc
0.07001896947622299,0.06671041250228882,0.0033085595350712538
0.06922707706689835,0.06592966616153717,0.003297413932159543
0.06845024228096008,0.06516361981630325,0.0032866187393665314
0.06768884509801865,0.06441281735897064,0.003276025876402855
0.06694355607032776,0.0636780634522438,0.003265491221100092
0.066214919090271,0.06296002119779587,0.0032548957969993353
0.06550323218107224,0.062259066849946976,0.0032441660296171904
0.06480808556079865,0.06157480552792549,0.003233281895518303
0.06412866711616516,0.06090639531612396,0.0032222685404121876
0.06346357613801956,0.06025238707661629,0.003211189527064562
0.06281130015850067,0.05961117893457413,0.0032001230865716934
0.06217062845826149,0.058981478214263916,0.003189151408150792
0.061540815979242325,0.058362480252981186,0.0031783352605998516
0.06092182546854019,0.05775410681962967,0.0031677172519266605
